DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,PXR_Emax,PXR_assay
DTXSID0026701,104-15-4,C7H8O3S,172.019415,Inactive,0,0
DTXSID0026830,110-03-2,C8H18O2,146.13068,Inactive,0,0
DTXSID0026838,110-27-0,C17H34O2,270.25588,Inactive,0,0
DTXSID0026880,111-55-7,C6H10O4,146.057909,Inactive,0,0
DTXSID0026882,111-65-9,C8H18,114.140851,Inactive,0,0
DTXSID0026888,111-78-4,C8H12,108.0939,Inactive,0,0
DTXSID0026913,112-40-3,C12H26,170.203451,Inactive,0,0
DTXSID0026915,112-42-5,C11H24O,172.182715,Inactive,0,0
DTXSID0026961,119-33-5,C7H7NO3,153.042593,Inactive,0,0
DTXSID0026967,120-55-8,C18H18O5,314.115424,Inactive,0,0
DTXSID0027014,123-96-6,C8H18O,130.135765,Inactive,0,0
DTXSID0027066,137-16-6,C15H28NNaO3,293.196688,Inactive,0,0
DTXSID0027143,329-01-1,C8H4F3NO,187.024498,Active,31.3718728,0.523399135
DTXSID0027149,372-09-8,C3H3NO2,85.016378,Inactive,0,0
DTXSID0027191,542-92-7,C5H6,66.04695,Inactive,0,0
DTXSID0027195,544-76-3,C16H34,226.266051,Inactive,0,0
DTXSID0027197,547-64-8,C4H8O3,104.047344,Inactive,0,0
DTXSID0027222,586-62-9,C10H16,136.125201,Active,30.17257462,0.87186377
DTXSID0027228,592-51-8,C5H7N,81.057849,Inactive,0,0
DTXSID0027270,629-76-5,C15H32O,228.245316,Inactive,0,0
DTXSID0027301,694-83-7,C6H14N2,114.115698,Active,28.58479704,1.251987868
DTXSID0027309,763-69-9,C7H14O3,146.094294,Inactive,0,0
DTXSID0027432,1738-25-6,C5H10N2,98.084398,Inactive,0,0
DTXSID0027436,1779-48-2,C6H7O2P,142.018366,Inactive,0,0
DTXSID0027438,1809-19-4,C8H19O3P,194.107181,Inactive,0,0
DTXSID0027486,2524-03-0,C2H6ClO2PS,159.951465,Inactive,0,0
DTXSID0027513,3039-83-6,C2H3NaO3S,129.970059,Inactive,0,0
DTXSID0027515,3048-65-5,C9H12,120.0939,Inactive,0,0
DTXSID0027561,4131-74-2,C8H14O4S,206.06128,Inactive,0,0
DTXSID0027565,4253-34-3,C7H12O6Si,220.040315,Inactive,0,0
DTXSID0027567,4300-97-4,C5H8Cl2O,153.99522,Inactive,0,0
DTXSID0027640,6915-15-7,C4H6O5,134.021523,Inactive,0,0
DTXSID0027721,10081-67-1,C30H31N,405.24565,Inactive,0,0
DTXSID0027729,11070-44-3,, ,Inactive,0,0
DTXSID0027771,15233-47-3,C20H28N2,296.225249,Active,35.57476615,1.30141428
DTXSID0027773,15625-89-5,C15H20O6,296.125988,Inactive,0,0
DTXSID0027802,19224-26-1,C17H16O4,284.104859,Inactive,0,0
DTXSID0027804,19355-69-2,C4H8N2,84.068748,Inactive,0,0
DTXSID0027806,19525-59-8,C8H8KNO2,189.01921,Inactive,0,0
DTXSID0027852,25168-05-2,, ,Inactive,0,0
DTXSID0027856,25265-71-8,C6H14O3,134.094294,Inactive,0,0
DTXSID0027858,25321-09-9,C12H18,162.140851,Inactive,0,0
DTXSID0027933,27554-26-3,C24H38O4,390.27701,Active,63.67997418,1.281221071
DTXSID0027981,33509-43-2,C7H12N4OS,200.073182,Inactive,0,0
