CASRN,DTXSID,Name,Formula,PPARg_Emax,PPARg_assay,LXR_Emax,LXR_assay,FXR_Emax,FXR_assay,PXR_Emax,PXR_assay,BCF,LogP,Predicted concentration in human blood (μM),
91-84-9,DTXSID9023542,Pyrilamine,C17H23N3O,0,0,,,0,0,39.60629237,0.64550089,67.6083,3.26959,0.00122,
58-14-0,DTXSID9021217,Pyrimethamine,C12H13ClN4,0,0,0,0,0,0,121.7003202,0.833476983,26.485,2.68994,0.000393,
4/3/1977,DTXSID4045262,Pyrithyldione,C9H13NO2,0,0,,,0,0,0,0,0.707946,1.11182,0.00177,
111974-69-7,DTXSID9023546,Quetiapine,C21H25N3O2S,0,0,,,0,0,55.75773656,0.907902743, ,2.77149,0.00134,
81-61-8,DTXSID4052558,Quinalizarin,C14H8O6,,,0,0,,,,,5.40754,1.85981,0.00253,
84449-90-1,DTXSID3023550,Raloxifene,C28H27NO4S,0,0,,,0,0,131.4082032,1.155734222,42.1697,4.40645,0.00104,
3615-24-5,DTXSID1045906,Ramifenazone,C14H19N3O,0,0,,,0,0,0,0,10,2.06607,0.00154,
66357-35-5,DTXSID8045191,Ranitidine,C13H22N4O3S,0,0,0,0,0,0,0,0, ,0.269121,0.00672,
90098-04-7,DTXSID8045937,Rebamipide,C19H15ClN2O4,0,0,,,0,0,0,0,1.80717,2.70006,9.19E-05,
10453-86-8,DTXSID7022253,Resmethrin,C22H26O3,66.01231406,1.175571091,0.97669527,0.681467391,0,0,41.22337429,1.19746702,443.609,6.13979,0.00641,
108-46-3,DTXSID2021238,Resorcinol,C6H6O2,0,0,0,0,0,0,0,0,6.42688,0.800577,0.00441,
102-29-4,DTXSID6045901,Resorcinol monoacetate,C8H8O3,0,0,,,0,0,0,0,5.4325,1.2338,3.78E-05,
1744-22-5,DTXSID3045192,6-(Trifluoromethoxy)-2-Benzothiazolamine,C8H5F3N2OS,0,0,,,0,0,75.34953407,1.178064035,16.1436,2.01375,0.00249,
106266-06-2,DTXSID8045193,Risperidone,C23H27FN4O2,0,0,,,0,0,0,0,14.1254,3.98001,0.00143,
87051-43-2,DTXSID9042594,Ritanserin,C27H25F2N3OS,0,0,,,0,0,35.94485481,0.887176394,27.6694,5.20034,0.00158,
144034-80-0,DTXSID2023565,Rizatriptan,C15H19N5,,,,,,,,,8.97429,1.61002,0.000302,
162011-90-7,DTXSID2023567,Rofecoxib,C17H14O4S,,,0,0,,,,, ,3.17493,0.00171,
61413-54-5,DTXSID3044124,4-(3-Cyclopentyloxy-4-methoxyphenyl)-2-pyrrolidone,C16H21NO3,0,0,,,0,0,0,0,25.5859,2.05259,0.00182,
7681-76-7,DTXSID6045400,Ronidazole,C6H8N4O4,0,0,0,0,0,0,0,0,0.488652,-0.380045,0.00504,
91374-21-9,DTXSID8045195,Ropinirole,C16H24N2O,0,0,,,0,0,0,0,23.6048,2.69999,2.86E-06,
78-48-8,DTXSID1024174,Tribufos,C12H27OPS3,0,0,1.687163861,0.690497284,0,0,85.66996317,1.044256859,42.462,5.69968,6.26E-05,
7/2/1981,DTXSID5021251,Saccharin,C7H5NO3S,0,0,0,0,0,0,0,0,1.3,0.909345,0.00124,
94-59-7,DTXSID0021254,Safrole,C10H10O2,0,0,0,0,0,0,0,0,26.9153,2.05672,0.00356,
1/7/1990,DTXSID9045843,Salicyl alcohol,C7H8O2,0,0,,,0,0,0,0,3.39625,0.728035,0.000653,
65-45-2,DTXSID3021726,Salicylamide,C7H7NO2,0,0,0,0,0,0,0,0,2.12324,1.27772,0.000163,
89365-50-4,DTXSID6023571,Salmeterol,C25H37NO4,,,,,,,,,5.92925,3.48903,0.000317,
2447-54-3,DTXSID0045204,Sanguinarine,C20H14NO4,58.28517148,2.522344318,,,94.97539165,1.895907637,0,0, ,3.15348,0.00155,
552-94-3,DTXSID1023572,Salsalate,C14H10O5,0,0,,,0,0,0,0,2.70396,2.87754,1.52E-05,
111-20-6,DTXSID7026867,Decanedioic acid,C10H18O4,0,0,0,0,0,0,0,0,1.69824,2.14491,0.00156,
13909-09-6,DTXSID8031603,Semustine,C10H18ClN3O2,,,,,,,,,4.63447,3.29793,0.00256,
28523-86-6,DTXSID8046614,Sevoflurane,C4H3F7O,,,0,0,,,,,4.81948,1.81801,0.00135,
68-35-9,DTXSID7044130,Sulfadiazine,C10H10N4O2S,,,,,,,,,1.74181,-0.0886145,0.00015,
122-34-9,DTXSID4021268,Simazine,C7H12ClN5,0,0,0,0,0,0,0,0,4.14,2.18007,0.00439,
98631-95-9,DTXSID5045203,Sobuzoxane,C22H34N4O10,,,,,,,,, ,1.71523,0.00127,
144-49-0,DTXSID0041981,Fluoroacetic acid,C2H3FO2,0,0,0,0,0,0,0,0,0.732825,-0.117597,0.000257,
64506-49-6,DTXSID5023586,Sofalcone,C27H30O6,47.46460086,2.143794259,,,50.96110218,0.611260256,0,0,5.76766,6.309,0.00188,
3930-20-9,DTXSID0023589,Sotalol,C12H20N2O3S,,,,,,,,,2.72898,0.242663,0.00346,
749-02-0,DTXSID5045205,Spiperone,C23H26FN3O2,0,0,,,0,0,327.6951135,1.841641338,10.5439,3.03252,0.00273,
1054-88-2,DTXSID3045198,Spiroxatrine,C22H25N3O3,0,0,,,0,0,31.55787819,1.511202994,22.182,3.29922,2.20E-05,
72702-95-5,DTXSID1045665,Ponalrestat,C17H12BrFN2O3,,,,,,,,,6.08135,2.30597,0.00468,
11/4/1957,DTXSID8021642,Octadecanoic acid,C18H36O2,0,0,0,0,0,0,0,0,14.6893,8.22868,4.97E-05,
149647-78-9,DTXSID6041133,Suberoylanilide hydroxamic acid,C14H20N2O3,0,0,,,0,0,200.2820903,1.523909189,1.88365,3.34567,0.000192,
116-43-8,DTXSID7045281,Succinylsulfathiazole,C13H13N3O5S2,0,0,,,0,0,0,0,0.187068,0.99822,0.00212,
127-71-9,DTXSID7045287,Sulfabenzamide,C13H12N2O3S,0,0,,,0,0,0,0,2.14289,1.41167,0.00212,
144-80-9,DTXSID8026060,Sulfacetamide,C8H10N2O3S,0,0,0,0,0,0,0,0,0.457088,-0.953456,5.23E-05,
122-11-2,DTXSID1023607,Sulfadimethoxine,C12H14N4O4S,0,0,,,0,0,0,0,2.28034,1.62719,0.00212,
57-67-0,DTXSID1023609,Sulfaguanidine,C7H10N4O2S,0,0,,,0,0,0,0,0.428549,-1.21691,6.53E-05,
127-79-7,DTXSID0023612,Sulfamerazine,C11H12N4O2S,0,0,,,0,0,0,0,2.00909,0.14131,6.77E-05,
651-06-9,DTXSID5023613,Sulfameter,C11H12N4O3S,0,0,,,0,0,0,0,1.75792,0.411896,0.00221,
57-68-1,DTXSID6021290,Sulfamethazine,C12H14N4O2S,0,0,0,0,0,0,0,0,2.5704,0.191263,0.00404,
144-82-1,DTXSID5023615,Sulfamethizole,C9H10N4O2S2,0,0,,,0,0,0,0,2.09894,0.541878,0.0013,
