DTXSID,PREFERRED NAME,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,HIT CALL,LXR_Emax,LXR_assay
DTXSID4059881,Methyl perfluorobutanoate,356-24-1,C5H3F7O2,228.002126,Inactive,0,0
DTXSID4059912,Heptafluorobutyl iodide,374-98-1,C4H2F7I,309.90894,Inactive,0,0
DTXSID4059914,3:1 Fluorotelomer alcohol,375-01-9,C4H3F7O,200.007212,Inactive,0,0
DTXSID4059916,Perfluorobutanoic acid,375-22-4,C4HF7O2,213.986476,Inactive,0,0
DTXSID4072990,4-Methoxymethylcyclohexanemethanol,98955-27-2,C9H18O2,158.13068,Inactive,0,0
DTXSID40858880,EPAMED_Water_Set2-14,NOCAS_858880,, ,Inactive,0,0
DTXSID40858885,EPAMED_Water_Set2-19,NOCAS_858885,, ,Inactive,0,0
DTXSID40858901,EPAMED_Water_Set2-35,NOCAS_858901,, ,Inactive,0,0
DTXSID40858906,EPAMED_Water_Set2-40,NOCAS_858906,, ,Inactive,0,0
DTXSID40858921,EPAMED_Water_Set2-55,NOCAS_858921,, ,Inactive,0,0
DTXSID40872708,EPAMED_Water_Set3-3,NOCAS_872708,, ,Inactive,0,0
DTXSID40872723,EPAMED_Water_Set3-18,NOCAS_872723,, ,Inactive,0,0
DTXSID40872728,EPAMED_Water_Set3-23,NOCAS_872728,, ,Inactive,0,0
DTXSID40872743,EPAMED_Water_Set3-38,NOCAS_872743,, ,Inactive,0,0
DTXSID40872748,EPAMED_Water_Set3-43,NOCAS_872748,, ,Inactive,0,0
DTXSID40903829,EPAMED_Water_Set4-5,NOCAS_903829,, ,Inactive,0,0
DTXSID40903844,EPAMED_Water_Set4-20,NOCAS_903844,, ,Inactive,0,0
DTXSID40903849,EPAMED_Water_Set4-25,NOCAS_903849,, ,Inactive,0,0
DTXSID40903864,EPAMED_Water_Set5-5,NOCAS_903864,, ,Inactive,0,0
DTXSID40903869,EPAMED_Water_Set5-10,NOCAS_903869,, ,Inactive,0,0
DTXSID40903884,EPAMED_Water_Set5-25,NOCAS_903884,, ,Inactive,0,0
DTXSID40903889,EPAMED_Water_Set5-30,NOCAS_903889,, ,Inactive,0,0
