PREFERRED NAME,DTXSID,CASRN,MOLECULAR FORMULA,MONOISOTOPIC MASS,PPARg_antagonist_ch1,PPARg_Emax,PPARg_assay
Nitrapyrin,DTXSID0024216,1929-82-4,C6H3Cl4N,228.90196,Inactive,0,0
Pirimiphos-methyl,DTXSID0024266,29232-93-7,C11H20N3O3PS,305.0963,Inactive,0,0
Toluene diisocyanate,DTXSID0024341,26471-62-5,C9H6N2O2,174.042927,Inactive,0,0
Triasulfuron,DTXSID0024345,82097-50-5,C14H16ClN5O5S,401.056067,Inactive,0,0
Acetic anhydride,DTXSID0024395,108-24-7,C4H6O3,102.031694,Inactive,0,0
Acetoacetanilide,DTXSID0024397,102-01-2,C10H11NO2,177.078979,Inactive,0,0
Acetoin,DTXSID0024399,513-86-0,C4H8O2,88.052429,Inactive,0,0
4-Chlorobenzothiazol-2-ylamine,DTXSID0024470,19952-47-7,C7H5ClN2S,183.986197,Inactive,0,0
6-Amino-4-chloro-1-phenol-2-sulfonic acid,DTXSID0024474,88-23-3,C6H6ClNO4S,222.970607,Inactive,0,0
"2-Amino-5,6-dimethylbenzothiazole",DTXSID0024478,29927-08-0,C9H10N2S,178.05647,Inactive,0,0
2-(4-Aminophenyl)-6-methylbenzothiazole sulfonic acid,DTXSID0024501,130-17-6,C14H12N2O3S2,320.028935,Inactive,0,0
2-Amino-4-phenylthiazole hydrobromide hydrate,DTXSID0024503,52253-69-7,C9H11BrN2OS,273.977547,Inactive,0,0
2-Aminopyridine,DTXSID0024505,504-29-0,C5H6N2,94.053098,Inactive,0,0
5-Amino-3-sulfosalicylic acid,DTXSID0024507,6201-87-2,C7H7NO6S,232.999408,Inactive,0,0
2-Amino-4-thiazoleacetic acid,DTXSID0024509,29676-71-9,C5H6N2O2S,158.014999,Inactive,0,0
Azodicarbonamide,DTXSID0024553,123-77-3,C2H4N4O2,116.033425,Inactive,0,0
Azoxybenzene,DTXSID0024555,495-48-7,C12H10N2O,198.079313,Inactive,0,0
C.I. Basic Orange 2,DTXSID0024559,532-82-1,C12H13ClN4,248.082874,Inactive,0,0
2-Bromobiphenyl,DTXSID0024638,2052/7/5,C12H9Br,231.988763,Inactive,0,0
Cadmium oxide,DTXSID0024715,1306-19-0,CdO,129.89828,Inactive,0,0
3-Chloroaniline,DTXSID0024761,108-42-9,C6H6ClN,127.018877,Inactive,0,0
Cobaltocene,DTXSID0024840,1277-43-6,C10H10Co,189.011444,Inactive,0,0
p-Cymen-8-ol,DTXSID0024890,1197-01-9,C10H14O,150.104465,Inactive,0,0
"(2,4-Dichlorophenoxy)acetic acid dimethylamine",DTXSID0024896,2008-39-1,C10H13Cl2NO3,265.027249,Inactive,0,0
"4,4'-Diaminodicyclohexylmethane",DTXSID0024921,1761-71-3,C13H26N2,210.209599,Inactive,0,0
DAMN,DTXSID0024923,1187-42-4,C4H4N4,108.043596,Inactive,0,0
"3,4-Dichlorobenzaldehyde",DTXSID0024971,6287-38-3,C7H4Cl2O,173.96392,Inactive,0,0
"2,4-Dichlorobenzoic acid",DTXSID0024977,50-84-0,C7H4Cl2O2,189.958835,Inactive,0,0
"2,6-Dichlorobenzoic acid",DTXSID0024979,50-30-6,C7H4Cl2O2,189.958835,Inactive,0,0
"1,2-Dihydro-2,2,4-trimethylquinoline",DTXSID0025070,147-47-7,C12H15N,173.120449,Inactive,0,0
"2,4-Dihydroxybenzoic acid",DTXSID0025074,89-86-1,C7H6O4,154.026609,Inactive,0,0
"1,8-Dihydroxy-4,5-dinitroanthraquinone",DTXSID0025076,81-55-0,C14H6N2O8,330.012415,Inactive,0,0
"5,7-Dihydroxy-4-methylcoumarin",DTXSID0025078,2107-76-8,C10H8O4,192.042259,Inactive,0,0
3-Dimethylaminophenol,DTXSID0025101,99-07-0,C8H11NO,137.084064,Inactive,0,0
Eosin,DTXSID0025234,17372-87-1,C20H6Br4Na2O5,687.674414,Active,113.83453,1.346678863
Ethylene glycol dimethyl ether,DTXSID0025286,110-71-4,C4H10O2,90.06808,Inactive,0,0
N-Ethyl-N-phenyl benzylamine,DTXSID0025315,92-59-1,C15H17N,211.1361,Inactive,0,0
Glycidyl methacrylate,DTXSID0025361,106-91-2,C7H10O3,142.062994,Inactive,0,0
Glycolic acid,DTXSID0025363,79-14-1,C2H4O3,76.016044,Inactive,0,0
Guanazole,DTXSID0025367,1455-77-2,C2H5N5,99.054495,Inactive,0,0
Norspermidine,DTXSID0025440,56-18-8,C6H17N3,131.142248,Inactive,0,0
1-Chlorododecane,DTXSID0025492,112-52-7,C12H25Cl,204.164479,Inactive,0,0
Dodecyl glycidyl ether,DTXSID0025494,2461-18-9,C15H30O2,242.22458,Inactive,0,0
Maltol,DTXSID0025523,118-71-8,C6H6O3,126.031694,Inactive,0,0
Medroxyprogesterone acetate,DTXSID0025527,71-58-9,C24H34O4,386.24571,Inactive,0,0
"2-Methyl-1,3-benzenediol",DTXSID0025571,608-25-3,C7H8O2,124.052429,Inactive,0,0
2-Methyl-2-butenenitrile,DTXSID0025577,4403-61-6,C5H7N,81.057849,Inactive,0,0
Methylene Blue trihydrate,DTXSID0025600,7220-79-3,C16H24ClN3O3S,373.12269,Inactive,0,0
Ethyl t-butyl ether,DTXSID0025604,637-92-3,C6H14O,102.104465,Inactive,0,0
1-Methylpyrene,DTXSID0025654,2381-21-7,C17H12,216.0939,Inactive,0,0
2-Nitrobenzamide,DTXSID0025733,610-15-1,C7H6N2O3,166.037842,Inactive,0,0
3-Nitrobenzoic acid,DTXSID0025737,121-92-6,C7H5NO4,167.021858,Inactive,0,0
beta-Nitrostyrene,DTXSID0025789,102-96-5,C8H7NO2,149.047678,Active,71.9296727,1.307813555
Olivetol,DTXSID0025812,500-66-3,C11H16O2,180.11503,Inactive,0,0
Orotic acid,DTXSID0025814,65-86-1,C5H4N2O4,156.017107,Inactive,0,0
Oxalic acid,DTXSID0025816,144-62-7,C2H2O4,89.995309,Inactive,0,0
Oxethazaine,DTXSID0025818,126-27-2,C28H41N3O3,467.314792,Inactive,0,0
3-Ethoxyaniline,DTXSID0025862,621-33-0,C8H11NO,137.084064,Inactive,0,0
4-Ethoxyaniline,DTXSID0025864,156-43-4,C8H11NO,137.084064,Inactive,0,0
Pheniramine maleate,DTXSID0025866,132-20-7,C20H24N2O4,356.173607,Inactive,0,0
4-Nitrosophenol,DTXSID0025991,104-91-6,C6H5NO2,123.032028,Inactive,0,0
13-cis-Retinal,DTXSID0025997,472-86-6,C20H28O,284.214016,Inactive,0,0
C.I. Solvent Black 5,DTXSID0026040,11099-03-9,C8H19ClN2O,194.118591,Inactive,0,0
"2,3,5,6-Tetrachloronitrobenzene",DTXSID0026098,117-18-0,C6HCl4NO2,258.876139,Inactive,0,0
Tetramethylsuccinonitrile,DTXSID0026125,3333-52-6,C8H12N2,136.100048,Inactive,0,0
Tolyltriazole,DTXSID0026171,29385-43-1,C7H7N3,133.063997,Inactive,0,0
Triallyl isocyanurate,DTXSID0026175,1025-15-6,C12H15N3O3,249.111341,Inactive,0,0
"2,3,4-Trichloronitrobenzene",DTXSID0026202,17700-09-3,C6H2Cl3NO2,224.915111,Inactive,0,0
"2,4,6-Trichloronitrobenzene",DTXSID0026204,18708-70-8,C6H2Cl3NO2,224.915111,Inactive,0,0
"2,3,5-Trichlorophenol",DTXSID0026208,933-78-8,C6H3Cl3O,195.924948,Inactive,0,0
Triphenyl phosphite,DTXSID0026252,101-02-0,C18H15O3P,310.075881,Inactive,0,0
Tris(2-chloroethyl) phosphite,DTXSID0026258,140-08-9,C6H12Cl3O3P,267.958964,Inactive,0,0
alpha-Vitamin E,DTXSID0026339,1959/2/9,C29H50O2,430.381081,Inactive,0,0
tert-Butyl mercaptan,DTXSID0026418,75-66-1,C4H10S,90.050321,Inactive,0,0
6-Amino-4-hydroxynaphthalene-2-sulfonic acid,DTXSID0026547,90-51-7,C10H9NO4S,239.025229,Inactive,0,0
Gluconolactone,DTXSID0026549,90-80-2,C6H10O6,178.047738,Inactive,0,0
"1,1'-Oxybis(4-nitrobenzene)",DTXSID0026676,101-63-3,C12H8N2O5,260.043321,Inactive,0,0
4-Methylbenzenesulfonic acid,DTXSID0026701,104-15-4,C7H8O3S,172.019415,Inactive,0,0
"2,5-Dimethylhexane-2,5-diol",DTXSID0026830,110-03-2,C8H18O2,146.13068,Inactive,0,0
Isopropyl tetradecanoate,DTXSID0026838,110-27-0,C17H34O2,270.25588,Inactive,0,0
"1,2-Ethanediol diacetate",DTXSID0026880,111-55-7,C6H10O4,146.057909,Inactive,0,0
Octane,DTXSID0026882,111-65-9,C8H18,114.140851,Inactive,0,0
"1,5-Cyclooctadiene",DTXSID0026888,111-78-4,C8H12,108.0939,Inactive,0,0
Dodecane,DTXSID0026913,112-40-3,C12H26,170.203451,Inactive,0,0
1-Undecanol,DTXSID0026915,112-42-5,C11H24O,172.182715,Inactive,0,0
4-Methyl-2-nitrophenol,DTXSID0026961,119-33-5,C7H7NO3,153.042593,Inactive,0,0
Diethylene glycol dibenzoate,DTXSID0026967,120-55-8,C18H18O5,314.115424,Inactive,0,0
2-Octanol,DTXSID0027014,123-96-6,C8H18O,130.135765,Inactive,0,0
"Glycine, N-methyl-N-(1-oxododecyl)-, sodium salt",DTXSID0027066,137-16-6,C15H28NNaO3,293.196688,Inactive,0,0
3-(Trifluoromethyl)phenyl isocyanate,DTXSID0027143,329-01-1,C8H4F3NO,187.024498,Inactive,0,0
