INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	DTXCID	INCHIKEY	SMILES	BIOCONCENTRATION_FACTOR	LOGP
DTXSID6025307	DSSTox_Substance_Id	DTXSID6025307	Ethyl linolenate	1191-41-9	"Ethyl (9Z,12Z,15Z)-octadeca-9,12,15-trienoate"	DTXCID801333886	JYYFMIOPGOFNPK-AGRJPVHOSA-N	CCOC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC	 	7.00557
DTXSID1035286	DSSTox_Substance_Id	DTXSID1035286	(E)-11-Tetradecenyl acetate	33189-72-9	(11E)-Tetradec-11-en-1-yl acetate	DTXCID9015286	YJINQJFQLQIYHX-SNAWJCMRSA-N	CC\C=C\CCCCCCCCCCOC(C)=O	84.5279	6.3775
DTXSID3035266	DSSTox_Substance_Id	DTXSID3035266	(Z)-Tetradec-11-enyl acetate	20711-10-8	(11Z)-Tetradec-11-en-1-yl acetate	DTXCID1015266	YJINQJFQLQIYHX-PLNGDYQASA-N	CC\C=C/CCCCCCCCCCOC(C)=O	84.5279	6.3775
DTXSID3047554	DSSTox_Substance_Id	DTXSID3047554	(3Z)-Hex-3-en-1-yl benzoate	25152-85-6	(3Z)-Hex-3-en-1-yl benzoate	DTXCID1027554	BCOXBEHFBZOJJZ-ARJAWSKDSA-N	CC\C=C/CCOC(=O)C1=CC=CC=C1	21.7771	3.35049
DTXSID9047413	DSSTox_Substance_Id	DTXSID9047413	Geranyl tiglate	7785-33-3	"(2E)-3,7-Dimethylocta-2,6-dien-1-yl (2E)-2-methylbut-2-enoate"	DTXCID7027413	OGHBUHJLMHQMHS-KRDNBFTESA-N	C\C=C(/C)C(=O)OC\C=C(/C)CCC=C(C)C	 	4.93943
DTXSID3047637	DSSTox_Substance_Id	DTXSID3047637	Methyl (2E)-2-nonenoate	14952-06-8	Methyl (2E)-non-2-enoate	DTXCID1027637	ZWNPUELCBZVMDA-CMDGGOBGSA-N	CCCCCC\C=C\C(=O)OC	 	3.57684
DTXSID8037750	DSSTox_Substance_Id	DTXSID8037750	(3Z)-Hexenyl salicylate	65405-77-8	(3Z)-Hex-3-en-1-yl 2-hydroxybenzoate	DTXCID6017750	IEPWIPZLLIOZLU-ARJAWSKDSA-N	CC\C=C/CCOC(=O)C1=C(O)C=CC=C1	13.213	2.83371
DTXSID9023914	DSSTox_Substance_Id	DTXSID9023914	Dicrotophos	141-66-2	(2E)-4-(Dimethylamino)-4-oxobut-2-en-2-yl dimethyl phosphate	DTXCID003914	VEENJGZXVHKXNB-VOTSOKGWSA-N	COP(=O)(OC)O\C(C)=C\C(=O)N(C)C	1.64437	0.000299434
DTXSID9034816	DSSTox_Substance_Id	DTXSID9034816	Monocrotophos	6923-22-4	Dimethyl (2E)-4-(methylamino)-4-oxobut-2-en-2-yl phosphate	DTXCID7014816	KRTSDMXIXPKRQR-AATRIKPKSA-N	CNC(=O)\C=C(/C)OP(=O)(OC)OC	1.11686	-0.199428
DTXSID8026563	DSSTox_Substance_Id	DTXSID8026563	Oleic acid diethanolamide	93-83-4	"(9Z)-N,N-Bis(2-hydroxyethyl)octadec-9-enamide"	DTXCID606563	LPMBTLLQQJBUOO-KTKRTIGZSA-N	CCCCCCCC\C=C/CCCCCCCC(=O)N(CCO)CCO	6.77641	4.33785
